DATE,MABMM301ZAM189S
1981-09-01,39360535500.0
1981-10-01,40011651200.0
1981-11-01,40605078400.0
1981-12-01,40744626700.0
1982-01-01,40916530500.0
1982-02-01,41192338300.0
1982-03-01,42196427800.0
1982-04-01,41840260900.0
1982-05-01,41951720900.0
1982-06-01,42562649500.0
1982-07-01,43097284900.0
1982-08-01,43832354800.0
1982-09-01,44698387000.0
1982-10-01,45162679100.0
1982-11-01,46197698600.0
1982-12-01,46969811200.0
1983-01-01,47972551200.0
1983-02-01,48643055000.0
1983-03-01,49721929700.0
1983-04-01,50304373300.0
1983-05-01,51228542700.0
1983-06-01,51868806500.0
1983-07-01,51918916100.0
1983-08-01,52513050900.0
1983-09-01,53712816900.0
1983-10-01,53388409300.0
1983-11-01,54106752800.0
1983-12-01,54655864100.0
1984-01-01,55838822100.0
1984-02-01,56448813300.0
1984-03-01,56740188300.0
1984-04-01,57811197000.0
1984-05-01,58485068200.0
1984-06-01,59112196100.0
1984-07-01,60221843300.0
1984-08-01,60725851700.0
1984-09-01,61951993200.0
1984-10-01,63034808500.0
1984-11-01,64623262100.00001
1984-12-01,64402696000.00001
1985-01-01,65310441200.0
1985-02-01,65807036900.0
1985-03-01,66020700300.0
1985-04-01,66763248200.00001
1985-05-01,67791099500.0
1985-06-01,68808128700.0
1985-07-01,69420015200.0
1985-08-01,70207262500.0
1985-09-01,69781847500.0
1985-10-01,70934363200.0
1985-11-01,71210686800.0
1985-12-01,72216999900.0
1986-01-01,72329224400.0
1986-02-01,74390279600.0
1986-03-01,73205630700.0
1986-04-01,74689021600.0
1986-05-01,75193677600.0
1986-06-01,75642922300.0
1986-07-01,76054340500.0
1986-08-01,76820278200.0
1986-09-01,77256557600.0
1986-10-01,78201067700.0
1986-11-01,78460377800.0
1986-12-01,78837953400.0
1987-01-01,78269832600.0
1987-02-01,79847274500.0
1987-03-01,80450892800.0
1987-04-01,82138474000.0
1987-05-01,82614776800.0
1987-06-01,83320950700.0
1987-07-01,85118000200.0
1987-08-01,85144793400.0
1987-09-01,87926387700.0
1987-10-01,88920323200.0
1987-11-01,92199705500.0
1987-12-01,92597071100.0
1988-01-01,94425297400.0
1988-02-01,95982693000.0
1988-03-01,98642444800.0
1988-04-01,99491620500.0
1988-05-01,101874975300.0
1988-06-01,104086772600.0
1988-07-01,105866466200.0
1988-08-01,108575558300.0
1988-09-01,111562779300.0
1988-10-01,113349852400.0
1988-11-01,115050123500.0
1988-12-01,117800785500.0
1989-01-01,119929856100.0
1989-02-01,121999495000.0
1989-03-01,124630532900.0
1989-04-01,124151773100.0
1989-05-01,128661964899.99998
1989-06-01,131390080300.0
1989-07-01,133628556199.99998
1989-08-01,136245163100.00002
1989-09-01,136973033500.00002
1989-10-01,141003374200.0
1989-11-01,142150187000.0
1989-12-01,144116118300.0
1990-01-01,148325420900.0
1990-02-01,148100150500.0
1990-03-01,149683761000.0
1990-04-01,151662122900.0
1990-05-01,153504404200.0
1990-06-01,153059602300.0
1990-07-01,154227680900.0
1990-08-01,154816731100.0
1990-09-01,154147177300.0
1990-10-01,155265405500.0
1990-11-01,160559559900.0
1990-12-01,161339022400.0
1991-01-01,162729189200.0
1991-02-01,171044226300.0
1991-03-01,170650921000.0
1991-04-01,172654449400.0
1991-05-01,177142085500.0
1991-06-01,177155039900.0
1991-07-01,176108571500.0
1991-08-01,177769191000.0
1991-09-01,179387226000.0
1991-10-01,180756581600.0
1991-11-01,182179033800.0
1991-12-01,181726825500.0
1992-01-01,186257713100.0
1992-02-01,186852846400.0
1992-03-01,186348488300.0
1992-04-01,189376198000.0
1992-05-01,187418147700.0
1992-06-01,189622575400.0
1992-07-01,193027413900.0
1992-08-01,192898539500.0
1992-09-01,194928034600.0
1992-10-01,196351014900.0
1992-11-01,198075956600.0
1992-12-01,196205426900.0
1993-01-01,196319025200.0
1993-02-01,196381704900.0
1993-03-01,196813360800.0
1993-04-01,195914728500.0
1993-05-01,196147302600.0
1993-06-01,195781581800.0
1993-07-01,196942410800.0
1993-08-01,201273465200.0
1993-09-01,203112043200.0
1993-10-01,205764592000.0
1993-11-01,209460500100.0
1993-12-01,209797128700.0
1994-01-01,214609835800.0
1994-02-01,218647839000.0
1994-03-01,220177171500.0
1994-04-01,222607109300.0
1994-05-01,227150002300.0
1994-06-01,224593919200.0
1994-07-01,229433853600.0
1994-08-01,231652524200.0
1994-09-01,231913080200.0
1994-10-01,236221946500.0
1994-11-01,240357525000.0
1994-12-01,242612972600.0
1995-01-01,241927877200.0
1995-02-01,242171517200.0
1995-03-01,248162228000.0
1995-04-01,253698404500.0
1995-05-01,262832563699.99997
1995-06-01,262905443800.0
1995-07-01,266359399399.99997
1995-08-01,266616664300.00003
1995-09-01,268826399900.0
1995-10-01,269823059000.0
1995-11-01,273662760100.0
1995-12-01,279159029500.0
1996-01-01,282829359400.0
1996-02-01,290155745200.0
1996-03-01,295911867000.0
1996-04-01,298213872200.0
1996-05-01,305437364500.0
1996-06-01,312659829500.0
1996-07-01,315847247300.0
1996-08-01,319215372700.0
1996-09-01,319300834000.0
1996-10-01,326149293900.0
1996-11-01,325704933400.0
1996-12-01,327882250900.0
1997-01-01,335219287100.0
1997-02-01,338567727800.0
