DATE,ZAFSLRTTO02IXOBSAM
4/1/1986,5.028484265
5/1/1986,5.026535743
6/1/1986,5.201581922
7/1/1986,5.320251658
8/1/1986,5.377846172
9/1/1986,5.4275599
10/1/1986,5.507560573
11/1/1986,5.489649847
12/1/1986,5.401832563
1/1/1987,5.796387917
2/1/1987,5.801810928
3/1/1987,5.702723842
4/1/1987,5.944113213
5/1/1987,6.081624504
6/1/1987,5.999352534
7/1/1987,6.193105895
8/1/1987,6.293797349
9/1/1987,6.305512302
10/1/1987,6.579809284
11/1/1987,6.588831332
12/1/1987,6.733229909
1/1/1988,7.045636224
2/1/1988,6.810367885
3/1/1988,7.066192362
4/1/1988,7.187832848
5/1/1988,7.228700114
6/1/1988,7.359453388
7/1/1988,7.66551929
8/1/1988,7.739272931
9/1/1988,7.787218627
10/1/1988,8.031920366
11/1/1988,7.994209216
12/1/1988,8.172628176
1/1/1989,8.493031139
2/1/1989,8.534543261
3/1/1989,8.455872869
4/1/1989,8.759729815
5/1/1989,8.818581291
6/1/1989,8.950356127
7/1/1989,9.052110504
8/1/1989,9.122052185
9/1/1989,9.356788959
10/1/1989,9.267298227
11/1/1989,9.603855787
12/1/1989,9.692384296
1/1/1990,9.720381432
2/1/1990,9.858428167
3/1/1990,10.2584295
4/1/1990,10.23732574
5/1/1990,10.56447275
6/1/1990,10.89001431
7/1/1990,10.68577369
8/1/1990,10.95414908
9/1/1990,11.23605694
10/1/1990,11.05447282
11/1/1990,11.28358765
12/1/1990,11.38007138
1/1/1991,11.25161248
2/1/1991,11.47191418
3/1/1991,11.80575373
4/1/1991,11.56192207
5/1/1991,11.76809401
6/1/1991,12.19358972
7/1/1991,12.08296031
8/1/1991,12.63413794
9/1/1991,12.25746423
10/1/1991,11.70340216
11/1/1991,12.34626297
12/1/1991,12.74286381
1/1/1992,12.55044229
2/1/1992,12.63847493
3/1/1992,12.58573835
4/1/1992,13.09701581
5/1/1992,13.44586853
6/1/1992,12.80084054
7/1/1992,13.23582849
8/1/1992,13.20134817
9/1/1992,13.24147917
10/1/1992,13.44573546
11/1/1992,13.51074638
12/1/1992,13.66096562
1/1/1993,13.81776799
2/1/1993,13.79942279
3/1/1993,14.23803371
4/1/1993,13.68963888
5/1/1993,13.86098109
6/1/1993,13.86160609
7/1/1993,14.17752703
8/1/1993,14.55770872
9/1/1993,14.52258889
10/1/1993,14.77211666
11/1/1993,15.03205412
12/1/1993,15.10790062
1/1/1994,15.30902656
2/1/1994,15.51620323
3/1/1994,15.50571231
4/1/1994,15.56872692
5/1/1994,15.76437974
6/1/1994,16.05713439
7/1/1994,16.25285628
8/1/1994,16.26380824
9/1/1994,16.5108304
10/1/1994,16.58744718
11/1/1994,16.5430405
12/1/1994,17.21023182
1/1/1995,17.12311232
2/1/1995,17.58709707
3/1/1995,17.46262394
4/1/1995,18.33976734
5/1/1995,18.22800498
6/1/1995,18.25056156
7/1/1995,18.3758785
8/1/1995,18.27896841
9/1/1995,18.74212401
10/1/1995,19.10488389
